Educational_course,year,Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Marital_status,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Type_of_experience,Resume_organization,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.
B.Tech,2013,no,no,75,5.7,29,S,NaN,15.5,no,no,2,Service based,good,5.2,5.2,yes,yes,yes
MCA,2012,NaN,no,75,6,30,M,2,13.5,yes,yes,3,Service based,good,1.3,1.3,yes,yes,yes
B.Tech,2013,no,no,NaN,4,29,S,NaN,7.4,no,no,2,Service based,good,2.9,2.9,no,yes,yes
MCA,2013,no,no,81,3,33,M,3,7.35,yes,no,2,Service based,good,3.4,3.4,no,yes,yes
MCA,2015,no,no,75,5.8,27,S,NaN,10,yes,yes,1,Service based,good,1.6,1.6,no,no,no
B.Tech,2013,no,NaN,72,4.3,26,S,NaN,8,yes,yes,1,Service based,good,0.1,0.1,no,no,no
B.Tech,2016,no,no,NaN,2.6,25,S,NaN,5,yes,yes,1,Service based,average,1.8,1.8,no,no,no
B.Tech,2006,no,yes,68,11.4,33,M,NaN,22,yes,yes,2,Service based,average,5.9,5.9,yes,no,no
B.Tech,2011,no,yes,85,9.9,33,M,NaN,20,yes,yes,2,Service based,average,2.5,2.5,yes,no,no
M.Tech,2015,no,no,NaN,5,29,S,NaN,11,yes,yes,2,Service based,good,0.5,0.5,yes,yes,yes
M.Tech,2012,no,yes,NaN,4.4,31,M,1,11.5,yes,yes,3,Service based,good,4.4,4.4,no,yes,yes
B.Tech,2013,no,no,68,3.6,27,S,NaN,7.85,yes,no,2,Service based,good,1.1,1.1,no,yes,yes
B.Com,2006,no,no,NaN,10,34,M,4,18,yes,no,2,Service based,good,0.6,0.6,no,yes,yes
BE,NaN,NaN,yes,82,2.2,25,S,NaN,4.5,yes,yes,2,Service based,good,2.2,2.2,no,yes,yes
MCA,2015,no,no,78,3.6,27,S,NaN,6.5,yes,yes,2,Product based,good,1.6,1.6,no,no,no
B.Tech,2016,no,no,69,3.4,27,S,NaN,6,yes,yes,3,Service based,good,2,2,no,no,no
NaN,NaN,NaN,yes,NaN,3,NaN,NaN,NaN,6,yes,yes,3,Service based,good,0.1,0.1,no,no,no
BE,NaN,no,no,NaN,3.1,NaN,NaN,NaN,5.25,yes,yes,2,Service based,good,3.1,3.1,no,no,no
Msc,NaN,no,no,78,2.4,27,S,NaN,4.75,yes,yes,2,Service based,good,2.4,2.4,yes,no,no
B.Tech,NaN,yes,yes,NaN,7,36,M,9,13.64,yes,yes,3,Service based,good,3.9,7,yes,yes,yes
BE,2007,NaN,no,NaN,10.8,33,M,5,24,yes,yes,1,Service based,good,6.1,10.8,yes,yes,yes
Bsc,NaN,NaN,no,NaN,3.9,33,M,7,6,yes,no,2,Service based,good,3.9,3.9,yes,yes,yes
B.Tech,2013,no,no,NaN,5,28,S,0,10,yes,yes,4,Product based,good,1.9,1.9,yes,yes,yes
Bsc,NaN,no,no,NaN,11.5,38,M,2,20,yes,no,2,Product based,good,1.1,1.1,yes,yes,yes
Bsc,2015,no,no,NaN,3.5,26,S,NaN,7.5,yes,no,1,Service based,average,3.5,3.5,no,no,no
Bsc,2016,no,no,NaN,2.11,25,S,NaN,4.5,yes,yes,3,Service based,good,0.5,0.5,no,no,no
B.Tech,2016,yes,NaN,78,2.4,26,M,NaN,4.5,yes,no,1,Service based,good,1.8,1.8,no,no,no
BE,2014,no,yes,NaN,4.7,27,S,NaN,8,yes,no,1,Service based,good,2.1,2.1,yes,no,no
BE,2014,no,no,70.6,4,26,M,NaN,8,yes,yes,3,Service based,good,4,4,yes,no,no
MCA,2010,no,no,NaN,7,30,M,2,14,yes,no,2,Product based,good,2.2,2.2,yes,yes,yes
B.Tech,2017,no,yes,75,2,27,M,NaN,6,yes,no,3,Service based,good,2,2,yes,yes,yes
Msc,2006,yes,no,80,12.1,40,M,NaN,25,yes,yes,1,Product based,good,8,8,yes,yes,yes
BCA,2017,yes,no,NaN,7,29,S,NaN,14,yes,no,2,Product based,good,3.9,3.9,yes,yes,yes
MCA,2011,no,no,NaN,6.8,32,M,NaN,13,yes,yes,2,Service based,average,1.8,1.8,no,no,no
NaN,NaN,NaN,yes,NaN,6.4,32,M,NaN,12,yes,yes,2,Service based,okay,3.7,3.7,no,no,no
MCA,2008,no,no,NaN,11,35,M,NaN,23,yes,yes,1,Service based,good,5.1,5.1,yes,no,no
BCA,2008,no,no,NaN,10,34,M,NaN,22,yes,yes,1,Service based,good,3.4,3.4,no,no,no
B.Tech,2009,no,yes,67.22,8,31,S,NaN,16,yes,yes,1,Service based,good,3.6,3.6,yes,no,no
BCA,NaN,no,yes,NaN,5.9,31,M,NaN,11.5,yes,yes,2,Product based,good,1.7,1.7,yes,yes,yes
MCA,2011,no,yes,NaN,5.2,30,M,NaN,10,yes,no,1,Product based,good,0.8,0.8,yes,yes,yes
B.Tech,2015,no,no,83,3.2,27,S,NaN,6.5,yes,yes,3,Service based,good,0.2,0.2,no,no,no
MCA,NaN,NaN,no,72,3.7,NaN,NaN,NaN,7,yes,no,2,Service based,good,1.7,1.7,no,no,no
B.Tech,2016,no,NaN,74,3.6,24,S,NaN,7.25,yes,yes,2,Service based,good,0.8,0.8,no,no,no
B.Tech,NaN,no,no,70,2.8,26,S,NaN,4.25,yes,yes,1,Service based,good,0.11,0.11,yes,no,no
BE,2017,no,no,66,1.1,NaN,NaN,NaN,3,yes,yes,2,Service based,good,1.1,1.1,no,no,no
B.Tech,2010,no,yes,75,8.2,31,M,2,14,yes,yes,2,Service based,good,6,6,no,no,no
BE,2014,no,yes,72,3.8,28,M,NaN,6,yes,yes,1,Service based,average,0.6,0.6,yes,no,no
BE,2011,no,yes,NaN,5.7,30,M,NaN,10.5,yes,yes,2,Service based,good,0.6,0.6,yes,no,no
BE,2004,no,no,NaN,13,37,M,NaN,26,yes,no,1,Service based,good,3.2,3.2,yes,no,no
NaN,NaN,NaN,NaN,NaN,2.5,25,S,NaN,4,yes,yes,1,Service based,bad,0.5,0.5,yes,no,no
BE,2011,no,yes,NaN,4.6,31,S,NaN,9,yes,yes,1,Service based,bad,NaN,NaN,no,no,no
NaN,NaN,NaN,NaN,NaN,5,NaN,NaN,NaN,9.5,yes,yes,1,Service based,bad,1.2,1.2,yes,no,no
B.Tech,2014,no,no,NaN,4.8,27,M,NaN,8,yes,yes,2,Service based,average,0.8,0.8,no,no,no
NaN,NaN,NaN,yes,NaN,5.8,28,M,NaN,11,yes,yes,2,Service based,bad,5.8,5.8,yes,no,no
M.Tech,2015,yes,no,NaN,2,30,M,NaN,5,yes,yes,1,Service based,okay,2,2,no,no,no
B.Tech,2010,no,no,NaN,8.3,30,M,NaN,16,yes,yes,2,Service based,average,1.6,1.6,no,no,no
MBA,2009,yes,yes,NaN,24,46,M,NaN,35,no,yes,1,Service based,good,2.1,2.1,no,no,no
B.Tech,2015,no,yes,64,4.11,26,S,NaN,8,yes,yes,3,Product based,good,3.1,3.1,no,no,no
