Educational_course,year,Gaps_in_education,Gaps_in_experience,Percentage_of_marks,Experience,Age,Marital_status,Age_of_kids,Salary,Salary_as_compared_to_experience,Salary_as_compared_with_the_industry_standards,Classification_of_companies,Type_of_experience,Resume_organization,Since_howlong_is_he.inthe_current_company,Since_howlong_is_he.inthe_current_location,is_home_town_as_work_location,Canditate_is_finikey_about_contract_job,Would_join_as_a_contractor_or_not.Target.
MCA,2012,no,yes,62,7,30,NaN,NaN,15,yes,yes,1,Service based,good,3,3,no,no,no
B.Tech,2015,no,no,57,2.3,26,S,NaN,5,yes,yes,2,Service based,average,2.3,2.3,no,no,no
B.Tech,2016,no,no,63.2,2.6,25,S,NaN,5,yes,yes,3,Service based,good,1.8,1.8,no,no,no
MCA,2016,yes,no,79.4,2.3,27,S,NaN,6,yes,yes,1,Product based,good,1,1,yes,no,no
B.Tech,NaN,NaN,no,NaN,3,26,S,NaN,7.3,no,no,1,Service based,good,1.6,3,no,yes,yes
B.Tech,NaN,NaN,yes,NaN,3.8,27,S,NaN,6,no,no,2,Service based,good,0.5,0.5,no,yes,yes
Msc,2006,no,no,77,6,35,M,5,14,yes,yes,1,Service based,good,2.2,2.2,no,yes,yes
MCA,NaN,NaN,no,NaN,10,39,M,8,20,yes,yes,2,Service based,good,3,10,no,yes,yes
NaN,NaN,NaN,no,NaN,5,28,S,NaN,15.7,yes,yes,2,Service based,good,2.3,2.3,no,yes,yes
BE,2014,no,no,64,4.8,27,S,NaN,9,yes,yes,3,Service based,good,0.8,0.8,no,no,no
B.Tech,NaN,no,no,NaN,3.8,26,S,NaN,8.5,yes,yes,3,Service based,good,1.1,1.1,yes,no,no
B.Tech,2012,no,no,78,6.9,28,S,NaN,10,yes,no,1,Service based,good,2.5,2.5,yes,no,no
B.Tech,2011,no,no,NaN,7.2,30,M,2,14,yes,no,3,Service based,good,1.5,1.5,no,no,no
BCA,2011,no,no,NaN,6.9,40,M,2,13,yes,no,1,Service based,good,3.9,3.9,yes,no,no
MBA,2014`,yes,no,NaN,9,32,M,NaN,23,yes,no,2,Product based,good,3.1,3.1,no,yes,yes
Msc,NaN,NaN,no,NaN,11.5,39,M,NaN,21,no,no,2,Product based,good,1.1,1.1,no,yes,yes
BE,2014`,no,no,60,3,28,S,NaN,7,no,no,2,Service based,good,3.3,3.3,no,yes,yes
BE,2013,no,no,74,5.9,27,S,NaN,12,yes,yes,2,Service based,good,1.3,3,yes,yes,yes
BE,NaN,NaN,no,NaN,1.8,24,S,NaN,30,yes,no,2,Service based,good,1.8,1.8,yes,yes,yes
M.Tech,2014,yes,no,85,4.9,30,M,NaN,10,yes,yes,1,Service based,good,1,1,yes,no,no
Msc,2015,no,no,60,4.3,27,S,NaN,9.5,yes,no,3,Product based,good,0.5,0.5,no,no,no
B.Tech,2015,no,no,78,3.1,25,S,NaN,6,yes,no,2,Service based,good,0.9,0.9,yes,no,no
BA,2014,yes,no,NaN,19.9,49,M,NaN,40,yes,no,1,Service based,good,15,15,yes,no,no
B.Tech,2015,NaN,NaN,76,3.2,25,S,NaN,7,yes,yes,1,Service based,good,3.2,3.2,no,no,no
B.Tech,NaN,NaN,no,NaN,5,29,S,NaN,11,yes,no,1,Service based,good,0.6,0.6,no,yes,yes
B.Tech,NaN,NaN,no,NaN,11,34,M,NaN,21,yes,yes,2,Service based,good,7.5,7.5,no,yes,yes
MCA,2013,no,no,78,5.6,33,M,NaN,13.5,yes,yes,2,Service based,good,1.8,3.8,no,yes,yes
MBA,2016,yes,no,66,8.1,32,M,NaN,19,yes,yes,2,Service based,good,1.1,1.1,no,yes,yes
B.Tech,2015,no,no,82,4,25,S,NaN,8,yes,no,2,Service based,good,1.3,1.3,no,yes,yes
B.Tech,2016,yes,no,65.24,2,25,S,NaN,5,yes,yes,2,Service based,average,2,2,yes,no,no
B.Tech,2015,yes,no,NaN,2.9,26,S,NaN,6,yes,yes,2,Service based,average,1.6,1.6,yes,no,no
B.Tech,2017,yes,no,72,2,24,S,NaN,5,yes,yes,2,Service based,average,2,2,no,no,no
B.Tech,2014,no,no,64.94,2,25,S,NaN,4,yes,yes,3,Service based,average,2,2,no,no,no
